chunk_id,content_type,text,section,concepts,learning_objectives,metadata,image_url,image_description
1-introduction_content_0,text,"From boiling thermal hot springs to deep beneath the Antarctic ice, microorganisms can be found almost everywhere on earth in great quantities. Microorganisms (or microbes, as they are also called) are small organisms. Most are so small that they cannot be seen without a microscope.",Introduction,"['organ', 'organism']",[],"{'chapter': 'An Invisible World', 'section_id': '1-introduction', 'chunk_type': 'content_paragraph'}",,
1-introduction_content_1,text,"Most microorganisms are harmless to humans and, in fact, many are helpful. They play fundamental roles in ecosystems everywhere on earth, forming the backbone of many food webs. People use them to make biofuels, medicines, and even foods. Without microbes, there would be no bread, cheese, or beer. Our bodies are filled with microbes, and our skin alone is home to trillions of them.1 Some of them we can’t live without; others cause diseases that can make us sick or even kill us.",Introduction,"['organ', 'organism', 'ecosystem']",[],"{'chapter': 'An Invisible World', 'section_id': '1-introduction', 'chunk_type': 'content_paragraph'}",,
1-introduction_content_2,text,"Although much more is known today about microbial life than ever before, the vast majority of this invisible world remains unexplored. Microbiologists continue to identify new ways that microbes benefit and threaten humans.",Introduction,[],[],"{'chapter': 'An Invisible World', 'section_id': '1-introduction', 'chunk_type': 'content_paragraph'}",,
1-introduction_figure_1.1,multimodal,"Figure 1.1: Figure 
1.1
 
A veterinarian gets ready to clean a sea turtle covered in oil following the Deepwater Horizon oil spill in the Gulf of Mexico in 2010.",Introduction,"['visual learning', 'diagram']",,"{'chapter': 'An Invisible World', 'section_id': '1-introduction', 'figure_number': '1.1', 'chunk_type': 'educational_figure'}",https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20250827.171612/resources/f9a5e970b091efb52fbd7c4e2caaa6c13751d0ce,A photograph of a person in a protective coverall and gloves who is holding an oil covered sea turtle. The person looks sad and disgusted.
1.1_heading_0,heading,Learning Objectives,1.1 What Our Ancestors Knew,[],"['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'heading', 'heading_level': 'h2'}",,
1.1_heading_2,heading,Clinical Focus,1.1 What Our Ancestors Knew,[],"['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'heading', 'heading_level': 'h2'}",,
1.1_heading_3,heading,Part 1,1.1 What Our Ancestors Knew,[],"['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'heading', 'heading_level': 'h3'}",,
1.1_content_4,text,"Cora, a 41-year-old lawyer and mother of two, has recently been experiencing severe headaches, a high fever, and a stiff neck. Her husband, who has accompanied Cora to see a doctor, reports that Cora also seems confused at times and unusually drowsy. Based on these symptoms, the doctor suspects that Cora may have meningitis, a potentially life-threatening infection of the tissue that surrounds the brain and spinal cord.",1.1 What Our Ancestors Knew,['tissue'],"['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'content_paragraph'}",,
1.1_content_5,text,"Meningitis has several potential causes. It can be brought on by bacteria, fungi, viruses, or even a reaction to medication or exposure to heavy metals. Although people with viral meningitis usually heal on their own, bacterial and fungal meningitis are quite serious and require treatment.",1.1 What Our Ancestors Knew,[],"['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'content_paragraph'}",,
1.1_content_6,text,"Cora’s doctor orders a lumbar puncture (spinal tap) to take three samples of cerebrospinal fluid (CSF) from around the spinal cord (Figure 1.2). The samples will be sent to laboratories in three different departments for testing: clinical chemistry, microbiology, and hematology. The samples will first be visually examined to determine whether the CSF is abnormally colored or cloudy; then the CSF will be examined under a microscope to see if it contains a normal number of red and white blood cells and to check for any abnormal cell types. In the microbiology lab, the specimen will be centrifuged to concentrate any cells in a sediment; this sediment will be smeared on a slide and stained with a Gram stain. Gram staining is a procedure used to differentiate between two different types of bacteria (gram-positive and gram-negative).",1.1 What Our Ancestors Knew,['cell'],"['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'content_paragraph'}",,
