chunk_id,content_type,text,section,concepts,learning_objectives,metadata,image_url,image_description
2-introduction_content_0,text,"When we look at a rainbow, its colors span the full spectrum of light that the human eye can detect and differentiate. Each hue represents a different frequency of visible light, processed by our eyes and brains and rendered as red, orange, yellow, green, or one of the many other familiar colors that have always been a part of the human experience. But only recently have humans developed an understanding of the properties of light that allow us to see images in color.",Introduction,[],[],"{'chapter': 'How We See the Invisible World', 'section_id': '2-introduction', 'chunk_type': 'content_paragraph'}",,
2-introduction_content_1,text,"Over the past several centuries, we have learned to manipulate light to peer into previously invisible worlds–those too small or too far away to be seen by the naked eye. Through a microscope, we can examine microbial cells, using various techniques to manipulate color, size, and contrast in ways that help us identify species and diagnose disease.",Introduction,"['cell', 'species']",[],"{'chapter': 'How We See the Invisible World', 'section_id': '2-introduction', 'chunk_type': 'content_paragraph'}",,
2-introduction_content_2,text,"Figure 2.1 illustrates how we can apply the properties of light to visualize and magnify images; but these stunning micrographs are just two examples of the numerous types of images we are now able to produce with different microscopic technologies. This chapter explores how various types of microscopes manipulate light in order to provide a window into the world of microorganisms. By understanding how various kinds of microscopes work, we can produce highly detailed images of microbes that can be useful for both research and clinical applications.",Introduction,"['organ', 'organism']",[],"{'chapter': 'How We See the Invisible World', 'section_id': '2-introduction', 'chunk_type': 'content_paragraph'}",,
2-introduction_figure_2.1,multimodal,"Figure 2.1: Figure 
2.1
 
Different types of microscopy are used to visualize different structures.",Introduction,"['visual learning', 'diagram']",,"{'chapter': 'How We See the Invisible World', 'section_id': '2-introduction', 'figure_number': '2.1', 'chunk_type': 'educational_figure'}",https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20250827.171612/resources/ef905b715bc1501bd019f4f68905f38fef0a87d7,"The left image shows a clear background with chains of solid purple rods and larger circular cells. The larger cells contain darker purple blotches inside each cell. The right image shows a black background with thin, glowing spirals."
2.1_heading_0,heading,Learning Objectives,2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'heading', 'heading_level': 'h2'}",,
2.1_heading_2,heading,Clinical Focus,2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'heading', 'heading_level': 'h2'}",,
2.1_heading_3,heading,Part 1,2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'heading', 'heading_level': 'h3'}",,
2.1_content_4,text,"Cindy, a 17-year-old counselor at a summer sports camp, scraped her knee playing basketball 2 weeks ago. At the time, she thought it was only a minor abrasion that would heal, like many others before it. Instead, the wound began to look like an insect bite and has continued to become increasingly painful and swollen.",2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'content_paragraph'}",,
2.1_content_5,text,"The camp nurse examines the lesion and observes a large amount of pus oozing from the surface. Concerned that Cindy may have developed a potentially aggressive infection, she swabs the wound to collect a sample from the infection site. Then she cleans out the pus and dresses the wound, instructing Cindy to keep the area clean and to come back the next day. When Cindy leaves, the nurse sends the sample to the closest medical lab to be analyzed under a microscope.",2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'content_paragraph'}",,
2.1_content_7,text,"Visible light consists of electromagnetic waves that behave like other waves. Hence, many of the properties of light that are relevant to microscopy can be understood in terms of light’s behavior as a wave. An important property of light waves is the wavelength, or the distance between one peak of a wave and the next peak. The height of each peak (or depth of each trough) is called the amplitude. In contrast, the frequency of the wave is the rate of vibration of the wave, or the number of wavelengths within a specified time period (Figure 2.2).",2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'content_paragraph'}",,
